MESA,INSCRITOS,ASISTENCIA,VOTOS VALIDOS,VOTOS BLANCOS ,VOTOS NULOS,VOTOS EMITIDOS,% VOTOS VALIDOS,% VOTOS BLANCOS ,% VOTOS NULOS,% VOTOS EMITIDOS,RECINTO,ZONA,DISTRITO,CIRCUNSCRIPCION,
2,115,47,,,,0,0.00%,0.00%,0.00%,0.00%,Instituto Americano Obrajes,OBRAJES,DISTRITO_16,7,
4,201,69,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sagrado Corazon De Jesus,ALTO_CHIJINI_24,DISTRITO_24,8,
6,155,0,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sagrado Corazon De Jesus,ALTO_CHIJINI_24,DISTRITO_24,8,
5,193,66,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Sagrado Corazon De Jesus,ALTO_CHIJINI_24,DISTRITO_24,8,
1,197,17,,,,0,0.00%,0.00%,0.00%,0.00%,Escuela Pedro Poveda (Villa Armonia),VILLA_ARMONIA,DISTRITO_8,6,
2,195,68,,,,0,0.00%,0.00%,0.00%,0.00%,Escuela Pedro Poveda (Villa Armonia),VILLA_ARMONIA,DISTRITO_8,6,
3,163,0,,,,0,0.00%,0.00%,0.00%,0.00%,Escuela Pedro Poveda (Villa Armonia),VILLA_ARMONIA,DISTRITO_8,6,
3,148,60,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Waldo Ballivian,VILLA_ARMONIA,DISTRITO_8,6,
4,174,37,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Waldo Ballivian,VILLA_ARMONIA,DISTRITO_8,6,
1,190,0,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Gil Tapia Rada,CIUDADELA_FERROVIARIA,DISTRITO_30,9,
4,178,79,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Gil Tapia Rada,CIUDADELA_FERROVIARIA,DISTRITO_30,9,
3,162,63,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Gil Tapia Rada,CIUDADELA_FERROVIARIA,DISTRITO_30,9,
1,178,62,,,,0,0.00%,0.00%,0.00%,0.00%,Polifuncional San Isidro (Iglesia San Isidro),SAN_ISIDRO,DISTRITO_10,7,
2,180,74,,,,0,0.00%,0.00%,0.00%,0.00%,Esc. Gil Tapia Rada,CIUDADELA_FERROVIARIA,DISTRITO_30,9,
1,166,69,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Waldo Ballivian,VILLA_ARMONIA,DISTRITO_8,6,
2,101,46,,,,0,0.00%,0.00%,0.00%,0.00%,Polifuncional San Isidro (Iglesia San Isidro),SAN_ISIDRO,DISTRITO_10,7,
3,186,9,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa San Jose (U. E. Manuel B. Mariaca),VILLA_VICTORIA,DISTRITO_28,9,
2,192,58,50,2,6,58,26.04%,1.04%,3.13%,30.21%,Colegio Holanda (Chamoco Chico),CHAMOCO_CHICO,DISTRITO_25,9,
2,168,54,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa San Jose (U. E. Manuel B. Mariaca),VILLA_VICTORIA,DISTRITO_28,9,
5,168,52,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Waldo Ballivian,VILLA_ARMONIA,DISTRITO_8,6,
3,184,67,59,1,7,67,32.07%,0.54%,3.80%,36.41%,Colegio Holanda (Chamoco Chico),CHAMOCO_CHICO,DISTRITO_25,9,
2,163,55,,,,0,0.00%,0.00%,0.00%,0.00%,U.E. Waldo Ballivian,VILLA_ARMONIA,DISTRITO_8,6,
1,193,47,,,,0,0.00%,0.00%,0.00%,0.00%,Unidad Educativa San Jose (U. E. Manuel B. Mariaca),VILLA_VICTORIA,DISTRITO_28,9,
1,186,59,51,1,7,59,27.42%,0.54%,3.76%,31.72%,Colegio Holanda (Chamoco Chico),CHAMOCO_CHICO,DISTRITO_25,9,
5,191,71,69,2,5,76,36.13%,1.05%,2.62%,39.79%,Colegio Holanda (Chamoco Chico),CHAMOCO_CHICO,DISTRITO_25,9,
1,159,43,,,,0,0.00%,0.00%,0.00%,0.00%,Plaza Daniel Rodriguez,BELLA_VISTA,DISTRITO_16,7,
1,124,53,46,3,8,57,37.10%,2.42%,6.45%,45.97%,Col. Amor de Dios,KANTUTANI_SAN_JORGE,DISTRITO_17,8,
6,113,47,40,2,5,47,35.40%,1.77%,4.42%,41.59%,Colegio Holanda (Chamoco Chico),CHAMOCO_CHICO,DISTRITO_25,9,
2,150,61,,,,0,0.00%,0.00%,0.00%,0.00%,Plaza Daniel Rodriguez,BELLA_VISTA,DISTRITO_16,7,
1,147,67,,,,0,0.00%,0.00%,0.00%,0.00%,U. E. Ff. Aa. De La Nación,BOLONIA,DISTRITO_11,7,
4,194,68,64,1,3,68,32.99%,0.52%,1.55%,35.05%,Colegio Holanda (Chamoco Chico),CHAMOCO_CHICO,DISTRITO_25,9,
2,147,74,55,0,19,74,37.41%,0.00%,12.93%,50.34%,Col. Amor de Dios,KANTUTANI_SAN_JORGE,DISTRITO_17,8,
2,152,59,,,,0,0.00%,0.00%,0.00%,0.00%,U. E. Ff. Aa. De La Nación,BOLONIA,DISTRITO_11,7,
3,93,57,51,2,4,57,54.84%,2.15%,4.30%,61.29%,Col. Amor de Dios,KANTUTANI_SAN_JORGE,DISTRITO_17,8,
