oso;nombre;inscritos;MAS;votosBlancos;votosNulos;votosValidos;votosEmitidos;idRecinto;Recinto;Zona;PDC;PVB_IEP;MSM;MAS;UD
;190020403;233;139;1;9;201;211;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;16;5;9;139;32
;190020404;235;131;1;2;215;218;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;22;18;10;131;34
;190020405;233;125;3;12;199;214;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;11;12;7;125;44
;190020406;228;140;1;5;206;212;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;13;10;18;140;25
;190020407;234;132;0;4;220;224;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;30;9;9;132;40
;190020408;233;145;0;4;214;218;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;17;10;13;145;29
;190020409;235;142;3;3;208;214;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;15;12;12;142;27
;190020410;229;131;1;11;196;208;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;18;19;6;131;22
;190020411;229;147;0;10;205;215;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;13;11;6;147;28
;190020412;231;125;0;6;207;213;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;20;18;8;125;36
;190020413;238;129;0;7;217;224;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;23;11;15;129;39
;190020414;234;130;2;4;209;215;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;23;9;12;130;35
;190020415;234;128;1;4;213;218;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;13;15;10;128;47
;190020416;229;128;4;6;202;212;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;22;9;9;128;34
;190020417;230;129;3;3;205;211;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;19;14;10;129;33
;190020418;235;137;1;6;207;214;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;18;6;13;137;33
;190020419;236;125;1;8;213;222;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;26;15;11;125;36
;190020420;234;152;4;2;215;221;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;17;14;9;152;23
;190020421;229;156;1;10;207;218;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;12;13;9;156;17
;190020422;227;159;2;4;211;217;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;10;12;7;159;23
;190020423;233;119;1;12;199;212;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;16;22;12;119;30
;190020424;237;132;2;6;213;221;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;26;13;9;132;33
;190020425;234;127;2;8;203;213;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;20;7;4;127;45
;190020426;237;127;0;4;207;211;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;22;18;7;127;33
;190020427;237;149;1;6;215;222;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;23;7;8;149;28
;190020428;237;142;3;7;210;220;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;16;11;9;142;32
;190020429;233;160;3;6;216;225;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;12;8;9;160;27
;190020430;237;149;4;9;202;215;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;7;10;10;149;26
;190020431;229;114;1;5;200;206;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;24;14;9;114;39
;190020432;233;127;2;7;203;212;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;14;16;9;127;37
;190020433;230;125;1;3;204;208;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;20;16;12;125;31
;190020434;231;141;1;3;212;216;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;17;8;16;141;30
;190020435;234;144;0;7;215;222;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;16;11;9;144;35
;190020436;228;118;2;6;199;207;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;20;11;14;118;36
;190020437;232;125;3;5;200;208;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;14;13;14;125;34
;190020438;235;146;3;8;206;217;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;13;8;8;146;31
;190020439;70;32;0;2;60;62;55;ESC. NICOLAS  FERNANDEZ NARANJO         ;VINO TINTO                              ;5;6;4;32;13
;190020501;233;149;2;8;208;218;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;17;9;6;149;27
;190020502;237;138;2;3;212;217;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;20;15;10;138;29
;190020503;236;133;0;4;213;217;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;23;13;14;133;30
;190020504;234;135;0;7;206;213;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;24;8;11;135;28
;190020505;234;135;0;7;207;214;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;12;16;11;135;33
;190020506;235;151;3;7;207;217;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;10;8;9;151;29
;190020507;236;145;0;6;212;218;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;19;14;5;145;29
;190020508;235;147;2;10;204;216;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;10;9;11;147;27
;190020509;232;129;0;8;211;219;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;15;13;15;129;39
;190020510;235;131;2;6;216;224;40;ESC. SERGIO SUAREZ                      ;VILLA DE LA CRUZ                        ;13;18;17;131;37
